Semana,Atleta,Dia,Bloque,Ejercicio,Series,Reps,Enfoque,Porcentaje,Kg,Reps>=70%
1,GENERAL,Día 1,Arranque (Media),Arr+OverHeadSquat,4,3,,0.8,67,12
1,GENERAL,Día 1,Arranque (Media),Arr.Colgado,3,2,,0.7,81,6
1,GENERAL,Día 1,Arranque (Media),Halón Arr. Alto Debajo Rodillas,5,3,,0.8,76,15
1,GENERAL,Día 1,Arranque (Media),Sentadilla Detrás,4,3,,0.8,76,12
1,GENERAL,Día 2,Envión (Alta),Envión,4,2,,0.75,75,8
1,GENERAL,Día 2,Envión (Alta),Clean Colgado,3,2,,0.7,70,6
1,GENERAL,Día 2,Envión (Alta),Hálón Env. Colgado Hombros,5,3,,0.95,95,15
1,GENERAL,Día 2,Envión (Alta),Sentadilla Delante Dinámica,3,4,,0.8,80,12
1,GENERAL,Día 3,Envion(Baja),Clean Colgado Parado,3,3,,0.7,70,9
1,GENERAL,Día 3,Envion(Baja),Yerk desde Rack,3,3,,0.8,114,9
1,GENERAL,Día 3,Envion(Baja),Sentadilla Delante con Pausa,4,3,,0.85,122,12
1,GENERAL,Día 4,Arranque (Alto),Arranque,4,2,,0.85,85,8
1,GENERAL,Día 4,Arranque (Alto),Halón Arr. Colg. Alto,4,3,,0.9,86,12
1,GENERAL,Día 4,Arranque (Alto),Sentadilla Detrás,4,3,,0.8,92,12
1,GENERAL,Día 4,Arranque (Alto),Salto Arr. Técnico,3,5,,0.85,85,15
2,GENERAL,Día 1,Arranque (Media),Arr+OverHeadSquat,4,5,,0.7,67,20
2,GENERAL,Día 1,Arranque (Media),Arr.Colgado,3,4,,0.7,81,12
2,GENERAL,Día 1,Arranque (Media),Halón Arr. Alto Debajo Rodillas,5,5,,0.8,76,25
2,GENERAL,Día 1,Arranque (Media),Sentadilla Detrás,4,5,,0.8,76,20
2,GENERAL,Día 2,Envión (Alta),Envión,4,4,,0.75,75,16
2,GENERAL,Día 2,Envión (Alta),Clean Colgado,3,4,,0.7,70,12
2,GENERAL,Día 2,Envión (Alta),Hálón Env. Colgado Hombros,5,5,,0.95,95,25
2,GENERAL,Día 2,Envión (Alta),Sentadilla Delante Dinámica,3,6,,0.8,80,18
