AgeGroup,Genero,PesoCat,Movimiento,Marca,Nombre,Fecha,Lugar
Senior,M,70,Arranque,100,Isaac Hernandez Mata,6/13/2026,Campeonato Nacional DMC 2026
Senior,M,70,Envion,122,Luis Poveda Hernandez,6/13/2026,Campeonato Nacional DMC 2026
Senior,M,75,Arranque,113,Andres Peralta Rojas,6/13/2026,Campeonato Nacional DMC 2026
Senior,M,75,Envion,150,Andres Peralta Rojas,6/13/2026,Campeonato Nacional DMC 2026
Senior,M,85,Arranque,123,Jimmy Trejos Arias,6/13/2026,Campeonato Nacional DMC 2026
Senior,M,85,Envion,155,Moises Valverde Arana,6/13/2026,Campeonato Nacional DMC 2026
Senior,M,95,Arranque,105,Pablo Madrigal Sanabria,6/14/2026,Campeonato Nacional DMC 2026
Senior,M,95,Envion,125,Diego Borge Oses,6/14/2026,Campeonato Nacional DMC 2026
Senior,M,>110,Arranque,136,Manuel Campos Murillo,6/14/2026,Campeonato Nacional DMC 2026
Senior,M,>110,Envion,175,Manuel Campos Murillo,6/14/2026,Campeonato Nacional DMC 2026
Senior,F,49,Arranque,42,Yatziry Zelaya Ruiz,6/13/2026,Campeonato Nacional DMC 2026
Senior,F,49,Envion,62,Yatziry Zelaya Ruiz,6/13/2026,Campeonato Nacional DMC 2026
Senior,F,57,Arranque,80,Allison Alfaro Leon,6/13/2026,Campeonato Nacional DMC 2026
Senior,F,57,Envion,98,Allison Alfaro Leon,6/13/2026,Campeonato Nacional DMC 2026
Senior,F,77,Arranque,84,Eva Briceno Barquero,6/14/2026,Campeonato Nacional DMC 2026
Senior,F,77,Envion,106,Eva Briceno Barquero,6/14/2026,Campeonato Nacional DMC 2026
Junior,M,65,Arranque,95,Dereck Bolanos Matamoros,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,65,Envion,117,Bryan Vasquez Anchia,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,70,Arranque,100,Isaac Hernandez Mata,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,70,Envion,122,Luis Poveda Hernandez,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,75,Arranque,85,Aldair Hidalgo Alfaro,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,75,Envion,103,Aldair Hidalgo Alfaro,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,85,Arranque,120,Nicolas Varela Varela,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,85,Envion,135,Nicolas Varela Varela,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,95,Arranque,75,Greivin Miranda Araya,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,95,Envion,96,Greivin Miranda Araya,6/13/2026,Campeonato Nacional DMC 2026
Junior,M,>110,Arranque,122,Thomas Chinchilla Mora,6/14/2026,Campeonato Nacional JUN 2026
Junior,M,>110,Envion,150,Thomas Chinchilla Mora,6/14/2026,Campeonato Nacional JUN 2026
Junior,F,49,Arranque,36,Stacy Aguilar Hernandez,6/13/2026,Campeonato Nacional JUN 2026
